conversion_id,customer_id,campaign_id,lead_date,conversion_date,revenue
CV5174,CUST1785,C109,2026-04-04,2026-04-08,105.57
CV5175,CUST1789,C114,2026-04-14,2026-04-22,130.09
CV5176,CUST1797,C103,2026-01-16,2026-01-29,425.01
CV5177,CUST1799,C112,2026-07-03,2026-07-11,123.75
CV5178,CUST1809,C109,2026-04-03,2026-04-18,219.9
CV5179,CUST1812,C105,2026-04-16,2026-05-03,198.45
CV5180,CUST1814,C114,2026-04-08,2026-04-13,103.15
CV5181,CUST1816,C110,2026-02-18,2026-02-22,500.87
CV5182,CUST1818,C112,2026-07-07,2026-07-18,155.8
CV5183,CUST1819,C107,2026-05-18,2026-06-05,215.79
CV5184,CUST1827,C103,2026-01-15,2026-01-25,113.75
CV5185,CUST1835,C108,2026-01-17,2026-02-03,201.39
CV5186,CUST1844,C113,2026-03-13,2026-03-28,130.83
CV5187,CUST1856,C102,2026-01-08,2026-01-14,143.88
CV5188,CUST1865,C110,2026-02-21,2026-03-09,167.33
CV5189,CUST1888,C118,2026-06-05,2026-06-20,198.92
CV5190,CUST1894,C117,2026-05-23,2026-05-31,548.33
CV5191,CUST1913,C113,2026-03-12,2026-03-21,93.36
CV5192,CUST1919,C100,2026-06-28,2026-07-09,153.36
CV5193,CUST1921,C107,2026-05-22,2026-05-24,116.58
CV5194,CUST1927,C114,2026-04-17,2026-04-30,134.58
CV5195,CUST1929,C101,2026-05-15,2026-05-19,107.4
CV5196,CUST1931,C113,2026-03-07,2026-03-16,95.17
CV5197,CUST1939,C115,2026-02-24,2026-03-01,150.23
CV5198,CUST1942,C109,2026-04-02,2026-04-21,56.09
CV5199,CUST1943,C106,2026-02-06,2026-02-09,158.59
CV5200,CUST1946,C115,2026-02-28,2026-03-03,73.71
CV5201,CUST1947,C118,2026-06-12,2026-06-18,313.39
CV5202,CUST1948,C103,2026-01-14,2026-01-24,114.02
CV5203,CUST1958,C102,2026-01-07,2026-01-12,78.24
CV5204,CUST1963,C105,2026-04-24,2026-04-27,178.77
CV5205,CUST1971,C109,2026-04-09,2026-04-16,548.01
CV5206,CUST1980,C101,2026-05-21,2026-06-08,67.75
CV5207,CUST1982,C106,2026-01-30,2026-02-07,155.96
CV5208,CUST1986,C103,2026-01-13,2026-01-14,81.09
CV5209,CUST1987,C112,2026-07-09,2026-07-13,88.86
CV5210,CUST1993,C109,2026-04-06,2026-04-13,107.81
CV5211,CUST2001,C111,2026-05-16,2026-05-30,457.17
CV5212,CUST2006,C111,2026-05-09,2026-05-22,206.6
CV5213,CUST2009,C109,2026-04-06,2026-04-16,167.23
CV5214,CUST2012,C113,2026-03-15,2026-04-02,94.65
CV5215,CUST2013,C101,2026-05-20,2026-05-21,83.99
CV5216,CUST2020,C107,2026-05-22,2026-05-26,108.68
CV5217,CUST2025,C107,2026-05-25,2026-06-10,215.86
CV5218,CUST2029,C104,2026-06-03,2026-06-19,181.7
CV5219,CUST2031,C103,2026-01-12,2026-01-30,542.65
CV5220,CUST2046,C107,2026-05-19,2026-05-27,298.88
CV5221,CUST2051,C109,2026-04-09,2026-04-19,569.96
CV5222,CUST2052,C106,2026-02-02,2026-02-18,68.09
CV5223,CUST2053,C102,2026-01-10,2026-01-21,362.09
CV5224,CUST2061,C101,2026-05-16,2026-05-22,59.41
CV5225,CUST2068,C109,2026-04-08,2026-04-09,220.85
CV5226,CUST2076,C104,2026-05-24,2026-06-05,552.64
CV5227,CUST2079,C107,2026-05-21,2026-05-27,214.58
CV5228,CUST2086,C109,2026-04-06,2026-04-19,110.22
CV5229,CUST2090,C106,2026-02-03,2026-02-20,86.69
CV5230,CUST2092,C114,2026-04-14,2026-04-15,115.14
CV5231,CUST2105,C106,2026-02-01,2026-02-09,221.34
CV5232,CUST2114,C110,2026-02-22,2026-03-02,88.16
CV5233,CUST2115,C107,2026-05-21,2026-06-01,126.07
CV5234,CUST2118,C114,2026-04-18,2026-05-02,98.15
CV5235,CUST2119,C116,2026-04-19,2026-04-29,222.05
CV5236,CUST2122,C117,2026-05-24,2026-06-08,559.09
CV5237,CUST2126,C109,2026-04-09,2026-04-16,111.16
CV5238,CUST2129,C102,2026-01-10,2026-01-17,217.06
CV5239,CUST2131,C101,2026-05-22,2026-06-01,113.21
CV5240,CUST2133,C112,2026-07-07,2026-07-11,198.15
CV5241,CUST2135,C102,2026-01-07,2026-01-25,101.97
CV5242,CUST2140,C111,2026-05-07,2026-05-17,136.77
CV5243,CUST2141,C115,2026-03-02,2026-03-21,478.83
CV5244,CUST2144,C109,2026-04-07,2026-04-21,89.38
CV5245,CUST2150,C102,2026-01-10,2026-01-23,111.16
CV5246,CUST2152,C113,2026-03-11,2026-03-26,87.47
CV5247,CUST2159,C113,2026-03-05,2026-03-21,64.18
CV5248,CUST2162,C114,2026-04-18,2026-04-20,105.6
CV5249,CUST2171,C113,2026-03-10,2026-03-14,186.34
CV5250,CUST2177,C103,2026-01-12,2026-01-30,455.97
CV5251,CUST2188,C102,2026-01-07,2026-01-24,77.18
CV5252,CUST2189,C105,2026-04-22,2026-05-02,334.07
CV5253,CUST2190,C104,2026-05-25,2026-06-03,85.87
CV5254,CUST2194,C108,2026-01-16,2026-01-31,117.03
CV5255,CUST2203,C102,2026-01-07,2026-01-19,77.51
CV5256,CUST2205,C105,2026-04-23,2026-05-02,401.35
CV5257,CUST2214,C108,2026-01-23,2026-02-06,160.87
CV5258,CUST2215,C102,2026-01-10,2026-01-23,429.32
CV5259,CUST2227,C114,2026-04-08,2026-04-14,72.45
CV5260,CUST2238,C112,2026-06-29,2026-07-18,552.07
CV5261,CUST2243,C118,2026-06-08,2026-06-12,78.75
CV5262,CUST2249,C112,2026-07-10,2026-07-27,132.55
CV5263,CUST2251,C105,2026-04-21,2026-05-10,126.1
CV5264,CUST2254,C107,2026-05-26,2026-05-29,383.23
CV5265,CUST2258,C112,2026-07-01,2026-07-15,60.32
CV5266,CUST2261,C109,2026-04-01,2026-04-18,58.11
CV5267,CUST2266,C110,2026-02-19,2026-03-04,94.73
CV5268,CUST2273,C117,2026-05-15,2026-05-24,478.13
CV5269,CUST2277,C112,2026-06-30,2026-07-01,168.55
CV5270,CUST2284,C108,2026-01-18,2026-02-04,523.93
CV5271,CUST2289,C102,2026-01-10,2026-01-26,109.7
CV5272,CUST2307,C109,2026-04-06,2026-04-24,115.9
CV5273,CUST2315,C102,2026-01-10,2026-01-12,310.42
CV5274,CUST2318,C106,2026-02-07,2026-02-21,99.14
CV5275,CUST2323,C114,2026-04-16,2026-05-03,121.01
CV5276,CUST2331,C102,2026-01-10,2026-01-13,112.31
CV5277,CUST2333,C108,2026-01-21,2026-01-23,166.29
CV5278,CUST2340,C113,2026-03-14,2026-03-22,114.88
CV5279,CUST2341,C119,2026-06-02,2026-06-04,95.47
CV5280,CUST2344,C116,2026-04-15,2026-04-17,56.58
CV5281,CUST2345,C111,2026-05-09,2026-05-18,105.67
CV5282,CUST2347,C115,2026-03-05,2026-03-11,97.64
CV5283,CUST2348,C104,2026-05-27,2026-06-08,69.61
CV5284,CUST2349,C119,2026-05-29,2026-06-07,149.97
CV5285,CUST2350,C105,2026-04-23,2026-04-30,56.5
CV5286,CUST2355,C105,2026-04-19,2026-05-01,501.98
CV5287,CUST2356,C114,2026-04-12,2026-04-17,76.65
CV5288,CUST2366,C113,2026-03-06,2026-03-22,462.91
CV5289,CUST2373,C106,2026-01-31,2026-02-05,117.23
CV5290,CUST2379,C114,2026-04-14,2026-04-26,140.94
CV5291,CUST2383,C111,2026-05-05,2026-05-14,119.38
CV5292,CUST2388,C115,2026-02-28,2026-03-07,96.49
CV5293,CUST2391,C110,2026-02-22,2026-03-13,71.49
CV5294,CUST2392,C112,2026-07-08,2026-07-19,419.77
CV5295,CUST2394,C107,2026-05-23,2026-06-04,103.39
CV5296,CUST2397,C113,2026-03-07,2026-03-10,158.58
CV5297,CUST2401,C112,2026-07-06,2026-07-23,113.22
CV5298,CUST2407,C118,2026-06-05,2026-06-12,125.23
CV5299,CUST2412,C114,2026-04-15,2026-04-25,106.64
CV5300,CUST2418,C117,2026-05-25,2026-06-09,487.48
CV5301,CUST2424,C112,2026-06-30,2026-07-02,173.38
CV5302,CUST2431,C106,2026-02-01,2026-02-14,125.11
CV5303,CUST2432,C113,2026-03-09,2026-03-13,109.62
CV5304,CUST2437,C111,2026-05-14,2026-06-01,117.49
CV5305,CUST2443,C108,2026-01-26,2026-01-27,58.62
CV5306,CUST2447,C108,2026-01-21,2026-01-23,60.99
CV5307,CUST2451,C107,2026-05-21,2026-05-23,211.17
CV5308,CUST2452,C117,2026-05-17,2026-05-21,202.87
CV5309,CUST2461,C102,2026-01-10,2026-01-13,179.15
CV5310,CUST2467,C111,2026-05-12,2026-05-29,218.4
CV5311,CUST2480,C105,2026-04-14,2026-04-28,97.37
CV5312,CUST2484,C108,2026-01-20,2026-01-22,130.92
CV5313,CUST2489,C114,2026-04-17,2026-05-03,102.63
CV5314,CUST2491,C106,2026-02-01,2026-02-12,182.49
CV5315,CUST2496,C103,2026-01-07,2026-01-20,223.29
CV5316,CUST2499,C117,2026-05-15,2026-05-16,130.67
CV5317,CUST2509,C103,2026-01-15,2026-01-17,94.26
CV5318,CUST2516,C102,2026-01-12,2026-01-14,105.93
CV5319,CUST2522,C102,2026-01-04,2026-01-09,77.69
CV5320,CUST2524,C103,2026-01-10,2026-01-14,80.3
CV5321,CUST2534,C112,2026-07-08,2026-07-20,112.83
CV5322,CUST2545,C102,2026-01-08,2026-01-11,153.5
CV5323,CUST2559,C109,2026-04-04,2026-04-14,179.97
CV5324,CUST2567,C110,2026-02-17,2026-03-07,112.91
CV5325,CUST2568,C111,2026-05-12,2026-05-22,69.43
CV5326,CUST2570,C119,2026-06-01,2026-06-02,222.83
CV5327,CUST2576,C104,2026-05-23,2026-05-29,504.63
CV5328,CUST2579,C111,2026-05-11,2026-05-22,438.76
CV5329,CUST2587,C101,2026-05-24,2026-05-26,83.58
CV5330,CUST2588,C108,2026-01-23,2026-01-30,585.4
CV5331,CUST2592,C102,2026-01-02,2026-01-20,69.17
CV5332,CUST2596,C100,2026-07-01,2026-07-20,75.95
CV5333,CUST2614,C112,2026-07-06,2026-07-10,378.49
CV5334,CUST2616,C115,2026-02-28,2026-03-13,372.48
CV5335,CUST2619,C107,2026-05-24,2026-06-11,85.99
CV5336,CUST2625,C114,2026-04-17,2026-04-30,119.31
CV5337,CUST2626,C114,2026-04-09,2026-04-28,112.88
CV5338,CUST2636,C107,2026-05-19,2026-06-05,76.99
CV5339,CUST2645,C115,2026-03-06,2026-03-07,155.74
CV5340,CUST2659,C112,2026-07-11,2026-07-17,185.34
CV5341,CUST2661,C110,2026-02-15,2026-03-06,57.1
CV5342,CUST2665,C113,2026-03-09,2026-03-10,203.42
CV5343,CUST2667,C105,2026-04-22,2026-04-30,561.54
CV5344,CUST2675,C112,2026-07-09,2026-07-26,110.86
CV5345,CUST2679,C114,2026-04-12,2026-04-27,400.02
CV5346,CUST2684,C118,2026-06-10,2026-06-28,427.84
CV5347,CUST2688,C102,2026-01-02,2026-01-09,56.79
CV5348,CUST2691,C110,2026-02-17,2026-03-05,152.93
CV5349,CUST2694,C113,2026-03-10,2026-03-17,160.25
CV5350,CUST2695,C113,2026-03-06,2026-03-23,114.05
CV5351,CUST2696,C109,2026-04-08,2026-04-12,566.08
CV5352,CUST2699,C108,2026-01-23,2026-02-04,220.93
CV5353,CUST2702,C115,2026-03-03,2026-03-16,211.21
CV5354,CUST2704,C105,2026-04-25,2026-04-29,56.52
CV5355,CUST2705,C111,2026-05-06,2026-05-07,181.98
CV5356,CUST2713,C114,2026-04-10,2026-04-11,60.37
CV5357,CUST2717,C113,2026-03-07,2026-03-14,73.45
CV5358,CUST2720,C110,2026-02-14,2026-02-23,174.4
CV5359,CUST2722,C110,2026-02-16,2026-02-17,100.84
CV5360,CUST2723,C115,2026-03-02,2026-03-18,97.9
CV5361,CUST2724,C114,2026-04-17,2026-05-05,59.14
CV5362,CUST2727,C110,2026-02-14,2026-03-01,62.63
CV5363,CUST2748,C112,2026-07-09,2026-07-15,120.43
CV5364,CUST2750,C110,2026-02-17,2026-02-19,61.85
CV5365,CUST2759,C109,2026-04-11,2026-04-20,67.41
CV5366,CUST2761,C119,2026-06-05,2026-06-09,100.06
CV5367,CUST2769,C112,2026-07-09,2026-07-22,109.17
CV5368,CUST2771,C108,2026-01-25,2026-02-05,82.16
CV5369,CUST2772,C114,2026-04-16,2026-04-29,100.34
CV5370,CUST2773,C109,2026-04-02,2026-04-13,129.0
CV5371,CUST2784,C109,2026-04-08,2026-04-27,591.45
CV5372,CUST2788,C109,2026-04-05,2026-04-13,78.4
CV5373,CUST2799,C115,2026-03-01,2026-03-08,110.14
CV5374,CUST2805,C109,2026-04-04,2026-04-20,582.52
CV5375,CUST2809,C101,2026-05-14,2026-05-17,111.34
CV5376,CUST2810,C102,2026-01-10,2026-01-27,301.46
CV5377,CUST2814,C109,2026-04-12,2026-04-30,97.62
CV5378,CUST2815,C106,2026-02-06,2026-02-21,63.69
CV5379,CUST2818,C110,2026-02-21,2026-03-10,105.68
CV5380,CUST2820,C113,2026-03-13,2026-03-24,111.21
CV5381,CUST2825,C106,2026-02-05,2026-02-10,114.63
CV5382,CUST2833,C102,2026-01-03,2026-01-19,114.14
CV5383,CUST2846,C107,2026-05-20,2026-06-04,132.1
CV5384,CUST2861,C119,2026-05-25,2026-06-04,170.65
CV5385,CUST2862,C107,2026-05-22,2026-06-05,219.6
CV5386,CUST2866,C112,2026-07-04,2026-07-06,87.79
CV5387,CUST2867,C114,2026-04-14,2026-04-30,152.23
CV5388,CUST2880,C118,2026-06-05,2026-06-24,434.64
CV5389,CUST2889,C117,2026-05-14,2026-05-22,106.57
CV5390,CUST2890,C107,2026-05-20,2026-06-04,162.27
CV5391,CUST2891,C106,2026-01-29,2026-02-08,106.13
CV5392,CUST2899,C103,2026-01-07,2026-01-12,83.63
CV5393,CUST2902,C112,2026-07-10,2026-07-26,135.24
CV5394,CUST2905,C101,2026-05-13,2026-05-25,144.18
CV5395,CUST2908,C110,2026-02-20,2026-03-05,60.98
CV5396,CUST2909,C102,2026-01-12,2026-01-21,164.69
CV5397,CUST2916,C114,2026-04-10,2026-04-27,122.77
CV5398,CUST2919,C109,2026-04-04,2026-04-16,107.94
CV5399,CUST2920,C111,2026-05-13,2026-05-18,155.47
CV5400,CUST2921,C114,2026-04-09,2026-04-21,196.8
CV5401,CUST2929,C113,2026-03-06,2026-03-07,117.09
CV5402,CUST2946,C109,2026-04-04,2026-04-20,206.94
CV5403,CUST2948,C100,2026-07-02,2026-07-14,219.18
CV5404,CUST2957,C102,2026-01-14,2026-01-23,173.15
CV5405,CUST2960,C112,2026-07-05,2026-07-18,66.58
CV5406,CUST2961,C101,2026-05-23,2026-06-09,579.33
CV5407,CUST2964,C103,2026-01-16,2026-02-02,111.58
CV5408,CUST2969,C112,2026-07-03,2026-07-07,111.32
CV5409,CUST2971,C119,2026-05-30,2026-06-13,100.37
CV5410,CUST2972,C117,2026-05-18,2026-06-06,95.99
CV5411,CUST2982,C101,2026-05-16,2026-05-23,106.77
CV5412,CUST2984,C117,2026-05-23,2026-05-26,103.88
CV5413,CUST2994,C115,2026-03-01,2026-03-02,115.98
CV5414,CUST2997,C103,2026-01-12,2026-01-24,136.17
CV5415,CUST2998,C103,2026-01-12,2026-01-27,171.18
CV5416,CUST2999,C106,2026-02-08,2026-02-19,159.21
CV5417,CUST3008,C106,2026-02-04,2026-02-14,57.01
CV5418,CUST3013,C106,2026-02-04,2026-02-06,543.68
CV5419,CUST3016,C104,2026-05-23,2026-05-27,210.46
CV5420,CUST3019,C105,2026-04-16,2026-05-03,186.82
CV5421,CUST3025,C112,2026-07-02,2026-07-19,90.63
CV5422,CUST3027,C112,2026-07-03,2026-07-11,117.49
CV5423,CUST3028,C117,2026-05-18,2026-06-01,63.68
CV5424,CUST3038,C101,2026-05-18,2026-05-22,103.23
CV5425,CUST3040,C115,2026-03-04,2026-03-10,64.22
CV5426,CUST3049,C112,2026-07-03,2026-07-22,80.44
CV5427,CUST3057,C115,2026-02-24,2026-02-28,467.36
CV5428,CUST3059,C109,2026-04-12,2026-04-15,193.45
CV5429,CUST3060,C117,2026-05-22,2026-05-28,105.45
CV5430,CUST3068,C116,2026-04-12,2026-04-19,363.39
CV5431,CUST3069,C112,2026-07-02,2026-07-16,90.44
CV5432,CUST3070,C118,2026-06-06,2026-06-18,168.94
CV5433,CUST3072,C111,2026-05-10,2026-05-26,181.52
CV5434,CUST3075,C107,2026-05-21,2026-05-29,377.23
